iter	RMSE
0	9.22099962
1	9.082938434
2	8.96222597
3	8.855731836
4	8.759818722
5	8.672507808
6	8.601212369
7	8.536335908
8	8.479636195
9	8.4286372
10	8.382547532
11	8.335641003
12	8.293061105
13	8.258901681
14	8.22277953
15	8.193423586
16	8.167836191
17	8.142685705
18	8.121144704
19	8.09961965
20	8.081852837
21	8.063713778
22	8.044385128
23	8.02894465
24	8.015593098
25	8.004915763
26	7.994597491
27	7.982442781
28	7.973239053
29	7.961785691
30	7.952767459
31	7.942493207
32	7.931580221
33	7.921800282
34	7.914413321
35	7.905135895
36	7.897635028
37	7.890181805
38	7.883484331
39	7.877211638
40	7.872945166
41	7.865573252
42	7.860192965
43	7.854661172
44	7.850101243
45	7.84260048
46	7.837268323
47	7.832377852
48	7.826179051
49	7.82039481
50	7.81706398
51	7.812407127
52	7.809106923
53	7.805659627
54	7.800742181
55	7.798115713
56	7.794360782
57	7.79133072
58	7.788043023
59	7.783160122
60	7.780348513
61	7.777015027
62	7.773883937
63	7.771171907
64	7.767692433
65	7.765041492
66	7.760551789
67	7.757378577
68	7.754775186
69	7.751491489
70	7.748404727
71	7.746391808
72	7.742214199
73	7.739748264
74	7.736883849
75	7.734101164
76	7.732392693
77	7.72920268
78	7.726746783
79	7.725451617
80	7.723404036
81	7.720839837
82	7.718693659
83	7.717239442
84	7.715643252
85	7.714333192
86	7.712259284
87	7.710998733
88	7.707925557
89	7.704468492
90	7.702261274
91	7.699859614
92	7.698557592
93	7.695572143
94	7.693097998
95	7.690540005
96	7.688101305
97	7.686199088
98	7.684084993
99	7.681030653
100	7.67976081
101	7.677737154
102	7.676694467
103	7.675211415
104	7.673296462
105	7.671455613
106	7.669403144
107	7.668311393
108	7.666918562
109	7.665946722
110	7.664317235
111	7.662225251
112	7.660725941
113	7.659593578
114	7.658438862
115	7.654644132
116	7.653229029
117	7.651728732
118	7.650145887
119	7.648578346
120	7.646684831
121	7.645181188
122	7.644474321
123	7.642160742
124	7.640890081
125	7.639267081
126	7.637570094
127	7.63544346
128	7.632425063
129	7.631628594
130	7.629496302
131	7.627564914
132	7.624328743
133	7.622328714
134	7.620618744
135	7.618424669
136	7.617684773
137	7.615994047
138	7.613940122
139	7.612781523
140	7.610362092
141	7.608490404
142	7.607123968
143	7.605049307
144	7.604448904
145	7.602263909
146	7.599367595
147	7.597147263
148	7.595036791
149	7.592734357
150	7.591605835
151	7.58960148
152	7.58762063
153	7.58645502
154	7.585174965
155	7.582892768
156	7.580349575
157	7.579262214
158	7.577473849
159	7.576985449
160	7.574905292
161	7.573471116
162	7.572209053
163	7.570047331
164	7.56844994
165	7.567919859
166	7.567245991
167	7.565795257
168	7.564782366
169	7.564198324
170	7.563753767
171	7.563276933
172	7.562288368
173	7.561264317
174	7.558558743
175	7.558202982
176	7.55709786
177	7.554905325
178	7.55254373
179	7.551446609
180	7.550280492
181	7.54838212
182	7.547315399
183	7.547075383
184	7.545586128
185	7.543721683
186	7.54264024
187	7.540867643
188	7.539829933
189	7.539023606
190	7.536775418
191	7.535538
192	7.533425749
193	7.531482533
194	7.530715825
195	7.52978597
196	7.528140232
197	7.526701653
198	7.524598584
199	7.522595353
200	7.520456314
201	7.518318934
202	7.517843337
203	7.515867744
204	7.513812347
205	7.511986042
206	7.510808571
207	7.509583504
208	7.508526126
209	7.507627178
210	7.506558265
211	7.504939257
212	7.503063737
213	7.501421385
214	7.500063169
215	7.498204296
216	7.494198905
217	7.49316323
218	7.491442216
219	7.48967477
220	7.488300084
221	7.486642741
222	7.485908076
223	7.483835704
224	7.482863272
225	7.481424104
226	7.479876302
227	7.478186854
228	7.477565009
229	7.476863889
230	7.47548902
231	7.474402043
232	7.472768065
233	7.4704792
234	7.46869191
235	7.467639578
236	7.466191601
237	7.465321795
238	7.46413353
239	7.462599613
240	7.461926277
241	7.460069642
242	7.458996007
243	7.458704927
244	7.45693931
245	7.45539851
246	7.454604674
247	7.453224548
248	7.45142903
249	7.450355025
250	7.448850765
251	7.447852961
252	7.446441721
253	7.445052231
254	7.443627686
255	7.442702235
256	7.441028155
257	7.439985652
258	7.439346403
259	7.438229477
260	7.436943463
261	7.435765669
262	7.434651614
263	7.432922899
264	7.431468619
265	7.430121392
266	7.428818574
267	7.427375332
268	7.4266849
269	7.425770028
270	7.425158713
271	7.4247254
272	7.423262207
273	7.421736968
274	7.420528117
275	7.418905784
276	7.417489097
277	7.416644668
278	7.415334805
279	7.414054486
280	7.412724137
281	7.412082533
282	7.411024389
283	7.409794334
284	7.409404259
