iter	Passed	Remaining
0	3	3183
1	6	3064
2	8	2953
3	11	2877
4	14	2812
5	16	2711
6	18	2661
7	21	2660
8	23	2633
9	26	2597
10	28	2574
11	31	2572
12	33	2561
13	36	2551
14	38	2544
15	41	2527
16	43	2524
17	45	2501
18	48	2498
19	50	2485
20	53	2478
21	55	2470
22	58	2467
23	61	2495
24	63	2482
25	66	2475
26	68	2467
27	71	2467
28	74	2491
29	77	2498
30	80	2503
31	82	2487
32	84	2482
33	87	2486
34	89	2478
35	93	2491
36	95	2490
37	98	2486
38	100	2470
39	102	2467
40	105	2461
41	107	2458
42	110	2448
43	113	2464
44	115	2453
45	117	2444
46	120	2438
47	122	2428
48	124	2417
49	127	2414
50	129	2405
51	131	2395
52	133	2381
53	135	2377
54	138	2381
55	140	2375
56	143	2368
57	145	2356
58	147	2348
59	149	2343
60	151	2338
61	154	2330
62	156	2323
63	158	2316
64	160	2307
65	163	2309
66	166	2315
67	168	2309
68	170	2304
69	173	2299
70	175	2299
71	177	2291
72	180	2286
73	182	2280
74	184	2278
75	187	2275
76	189	2267
77	191	2263
78	193	2260
79	195	2253
80	198	2249
81	200	2245
82	203	2243
83	205	2239
84	208	2239
85	209	2230
86	212	2225
87	214	2218
88	216	2215
89	218	2214
90	221	2207
91	223	2203
92	225	2198
93	227	2195
94	229	2190
95	232	2186
96	234	2184
97	237	2182
98	239	2180
99	241	2176
100	244	2174
101	246	2170
102	249	2168
103	251	2165
104	253	2159
105	255	2157
106	258	2153
107	260	2148
108	262	2145
109	264	2142
110	267	2141
111	269	2139
112	272	2137
113	274	2133
114	276	2129
115	279	2127
116	281	2123
117	283	2120
118	285	2117
119	288	2114
120	290	2112
121	293	2110
122	295	2104
123	297	2103
124	300	2102
125	302	2100
126	305	2099
127	307	2097
128	310	2095
129	312	2089
130	314	2084
131	316	2082
132	320	2086
133	322	2082
134	324	2079
135	326	2075
136	328	2070
137	331	2069
138	333	2066
139	335	2063
140	338	2059
141	340	2055
142	342	2051
143	345	2051
144	347	2048
145	349	2044
146	351	2038
147	353	2034
148	355	2031
149	357	2026
150	359	2022
151	362	2019
152	364	2017
153	366	2014
154	369	2012
155	371	2011
156	374	2009
157	376	2006
158	378	2003
159	381	2000
160	383	1997
161	385	1995
162	388	1992
163	390	1988
164	392	1985
165	394	1982
166	396	1979
